datetime,NT,KLN,HKI,Total
1/1/2017,0,0,0,0
2/1/2017,0,0,0,0
3/1/2017,12,2,0,14
4/1/2017,180,580,87,847
5/1/2017,36,193,31,260
6/1/2017,95,233,55,383
7/1/2017,69,233,41,343
8/1/2017,18,16,9,43
9/1/2017,74,207,22,303
10/1/2017,187,515,95,797
11/1/2017,137,342,109,588
12/1/2017,93,270,51,414
13/1/2017,101,272,53,426
14/1/2017,2,3,2,7
15/1/2017,41,54,22,117
16/1/2017,160,509,61,730
17/1/2017,219,570,129,918
18/1/2017,85,323,44,452
19/1/2017,13,4,6,23
20/1/2017,185,491,89,765
21/1/2017,34,245,12,291
22/1/2017,3,4,1,8
23/1/2017,208,446,90,744
24/1/2017,171,611,144,926
25/1/2017,38,147,9,194
26/1/2017,1,11,9,21
27/1/2017,0,1,0,1
28/1/2017,0,0,0,0
29/1/2017,0,0,0,0
30/1/2017,0,0,0,0
31/1/2017,0,0,0,0
1/2/2017,0,0,0,0
2/2/2017,0,1,0,1
3/2/2017,0,0,0,0
4/2/2017,0,1,0,1
5/2/2017,0,0,0,0
6/2/2017,28,29,9,66
7/2/2017,70,226,34,330
8/2/2017,42,127,38,207
9/2/2017,64,187,47,298
10/2/2017,63,270,31,364
11/2/2017,82,237,53,372
12/2/2017,18,18,7,43
13/2/2017,114,297,60,471
14/2/2017,211,556,112,879
15/2/2017,78,366,66,510
16/2/2017,64,203,45,312
17/2/2017,94,227,46,367
18/2/2017,93,301,58,452
19/2/2017,0,1,0,1
20/2/2017,158,495,85,738
21/2/2017,202,491,85,778
22/2/2017,107,330,99,536
23/2/2017,82,243,25,350
24/2/2017,100,278,61,439
25/2/2017,88,214,34,336
26/2/2017,0,1,0,1
27/2/2017,82,229,64,375
28/2/2017,162,476,65,703
1/3/2017,83,328,78,489
2/3/2017,91,262,29,382
3/3/2017,90,270,62,422
4/3/2017,70,257,19,346
5/3/2017,0,3,0,3
6/3/2017,62,213,46,321
7/3/2017,168,545,171,884
8/3/2017,86,270,69,425
9/3/2017,78,243,31,352
10/3/2017,82,304,62,448
11/3/2017,71,278,42,391
12/3/2017,0,0,0,0
13/3/2017,69,260,39,368
14/3/2017,197,642,147,986
