datetime,NT,KLN,HKI,Total
1/1/2017,0.096234872,0.096234872,0.096234872,0.096234872
2/1/2017,0.096234872,0.096234872,0.096234872,0.096234872
3/1/2017,0.366400315,0.192469745,0.096234872,0.384939489
4/1/2017,0.722511659,0.883905306,0.62319138,0.93632881
5/1/2017,0.505033634,0.732090461,0.485446624,0.773095437
6/1/2017,0.63514177,0.757995603,0.561327426,0.826533856
7/1/2017,0.591820129,0.757995603,0.522195896,0.811303525
8/1/2017,0.415920198,0.4012922,0.33291796,0.528507781
9/1/2017,0.601268506,0.741716722,0.441233281,0.794194204
10/1/2017,0.727751434,0.867463109,0.63514177,0.927901614
11/1/2017,0.685090385,0.810900513,0.653859743,0.885800729
12/1/2017,0.632249216,0.778295954,0.551225694,0.837285705
13/1/2017,0.643474524,0.779313083,0.556368414,0.841233959
14/1/2017,0.192469745,0.223450454,0.192469745,0.305057328
15/1/2017,0.522195896,0.558870059,0.441233281,0.663521907
16/1/2017,0.706349528,0.865842419,0.57522277,0.915742159
17/1/2017,0.749467808,0.881499048,0.676860564,0.947479478
18/1/2017,0.620035845,0.803012251,0.53155928,0.849421767
19/1/2017,0.375979118,0.248763536,0.288704617,0.446900907
20/1/2017,0.726274425,0.860863645,0.626276786,0.922226746
21/1/2017,0.497527072,0.764910106,0.366400315,0.78862138
22/1/2017,0.223450454,0.248763536,0.152528664,0.319685326
23/1/2017,0.742379432,0.847574676,0.627794152,0.918372449
24/1/2017,0.715470498,0.891110211,0.691911848,0.948681542
25/1/2017,0.512155071,0.694735761,0.33291796,0.73280063
26/1/2017,0.152528664,0.356111344,0.33291796,0.435324407
27/1/2017,0.096234872,0.152528664,0.096234872,0.152528664
28/1/2017,0.096234872,0.096234872,0.096234872,0.096234872
29/1/2017,0.096234872,0.096234872,0.096234872,0.096234872
30/1/2017,0.096234872,0.096234872,0.096234872,0.096234872
31/1/2017,0.096234872,0.096234872,0.096234872,0.096234872
1/2/2017,0.096234872,0.096234872,0.096234872,0.096234872
2/2/2017,0.096234872,0.152528664,0.096234872,0.152528664
3/2/2017,0.096234872,0.096234872,0.096234872,0.096234872
4/2/2017,0.096234872,0.152528664,0.096234872,0.152528664
5/2/2017,0.096234872,0.096234872,0.096234872,0.096234872
6/2/2017,0.47221399,0.476766449,0.33291796,0.585826209
7/2/2017,0.593761945,0.75379717,0.497527072,0.80597085
8/2/2017,0.525387705,0.67472456,0.512155071,0.741716722
9/2/2017,0.581681496,0.727751434,0.540330885,0.791899316
10/2/2017,0.579561798,0.778295954,0.485446624,0.819507287
11/2/2017,0.615163851,0.760338908,0.556368414,0.822509297
12/2/2017,0.415920198,0.415920198,0.305057328,0.528507781
13/2/2017,0.659976925,0.791435751,0.573001322,0.855113856
14/2/2017,0.744348793,0.878058649,0.657562298,0.941465583
15/2/2017,0.608389943,0.820263896,0.585826209,0.866113851
16/2/2017,0.581681496,0.739033787,0.534545149,0.798231769
17/2/2017,0.633703025,0.754404776,0.537468153,0.820640661
18/2/2017,0.632249216,0.793280796,0.568448862,0.849421767
19/2/2017,0.096234872,0.152528664,0.096234872,0.152528664
20/2/2017,0.704624815,0.861985571,0.620035845,0.917251278
21/2/2017,0.738354873,0.860863645,0.620035845,0.924560206
22/2/2017,0.651335354,0.80597085,0.640752132,0.872991022
23/2/2017,0.615163851,0.763781339,0.457585992,0.814092322
24/2/2017,0.642120001,0.782320513,0.57522277,0.845388213
25/2/2017,0.624742654,0.746290609,0.497527072,0.80845756
26/2/2017,0.096234872,0.152528664,0.096234872,0.152528664
27/2/2017,0.615163851,0.755612066,0.581681496,0.823618525
28/2/2017,0.708053078,0.856573781,0.583769319,0.910524266
1/3/2017,0.616806918,0.80513195,0.608389943,0.860299264
2/3/2017,0.629295113,0.774151241,0.476766449,0.82617277
3/3/2017,0.627794152,0.778295954,0.577409234,0.839930311
4/3/2017,0.593761945,0.771496522,0.422694106,0.812505589
5/3/2017,0.096234872,0.223450454,0.096234872,0.223450454
6/3/2017,0.577409234,0.74564635,0.537468153,0.802155226
7/3/2017,0.713041791,0.875294371,0.715470498,0.94225131
8/3/2017,0.621622577,0.778295954,0.591820129,0.840909193
9/3/2017,0.608389943,0.763781339,0.485446624,0.814878939
10/3/2017,0.615163851,0.794648665,0.577409234,0.848193108
11/3/2017,0.595676976,0.782320513,0.525387705,0.829389228
12/3/2017,0.096234872,0.096234872,0.096234872,0.096234872
13/3/2017,0.591820129,0.773095437,0.515583333,0.821016406
14/3/2017,0.734909595,0.897959594,0.694735761,0.95737985
15/3/2017,0.621622577,0.788146721,0.54313578,0.840583665
16/3/2017,0.608389943,0.777271318,0.534545149,0.829389228
17/3/2017,0.62319138,0.790503952,0.553820864,0.843805099
18/3/2017,0.624742654,0.783308685,0.501331079,0.833565109
19/3/2017,0.096234872,0.096234872,0.096234872,0.096234872
20/3/2017,0.608389943,0.757403544,0.446900907,0.807219772
21/3/2017,0.731376642,0.882947802,0.644815961,0.940039971
22/3/2017,0.637975288,0.774151241,0.493615896,0.829742056
23/3/2017,0.655104932,0.77880545,0.615163851,0.852745567
24/3/2017,0.597565952,0.776239063,0.415920198,0.816438928
25/3/2017,0.579561798,0.775199077,0.525387705,0.821391136
26/3/2017,0.152528664,0.096234872,0.096234872,0.152528664
27/3/2017,0.615163851,0.764910106,0.481174362,0.816826202
28/3/2017,0.686085641,0.861985571,0.615163851,0.912867572
29/3/2017,0.62319138,0.795101642,0.512155071,0.842525481
30/3/2017,0.644815961,0.779313083,0.589850769,0.846329488
31/3/2017,0.62319138,0.790970633,0.583769319,0.848193108
1/4/2017,0.597565952,0.767692515,0.537468153,0.821016406
2/4/2017,0.096234872,0.096234872,0.096234872,0.096234872
3/4/2017,0.587853071,0.770420256,0.512155071,0.817981584
4/4/2017,0.096234872,0.096234872,0.096234872,0.096234872
5/4/2017,0.691911848,0.853043822,0.599429571,0.906122707
6/4/2017,0.681036445,0.806804712,0.589850769,0.872214668
7/4/2017,0.659976925,0.8025844,0.595676976,0.865297957
8/4/2017,0.603083403,0.763781339,0.505033634,0.815661124
9/4/2017,0.096234872,0.096234872,0.096234872,0.096234872
10/4/2017,0.613501106,0.74564635,0.497527072,0.80513195
11/4/2017,0.702878408,0.868533153,0.653859743,0.925624101
12/4/2017,0.653859743,0.770959432,0.589850769,0.843486298
13/4/2017,0.618430768,0.788146721,0.589850769,0.846329488
14/4/2017,0.446900907,0.493615896,0.305057328,0.579561798
15/4/2017,0.096234872,0.096234872,0.096234872,0.096234872
16/4/2017,0.096234872,0.096234872,0.096234872,0.096234872
17/4/2017,0.518928979,0.452346216,0.366400315,0.60487488
18/4/2017,0.768242367,0.912867572,0.691911848,0.973795002
19/4/2017,0.62319138,0.816826202,0.568448862,0.863927387
20/4/2017,0.663521907,0.795553147,0.587853071,0.860581742
21/4/2017,0.642120001,0.784289873,0.581681496,0.847574676
22/4/2017,0.616806918,0.76602977,0.587853071,0.831492868
23/4/2017,0.096234872,0.096234872,0.096234872,0.096234872
24/4/2017,0.62319138,0.752573924,0.553820864,0.81912743
25/4/2017,0.686085641,0.830445032,0.599429571,0.889744584
26/4/2017,0.633703025,0.795553147,0.583769319,0.853341437
27/4/2017,0.624742654,0.768790051,0.606643535,0.838283345
28/4/2017,0.626276786,0.770959432,0.566115403,0.833221877
29/4/2017,0.642120001,0.770959432,0.553820864,0.835268659
30/4/2017,0.096234872,0.192469745,0.096234872,0.192469745
1/5/2017,0.096234872,0.096234872,0.096234872,0.096234872
2/5/2017,0.611818205,0.742379432,0.545885128,0.808867715
3/5/2017,0.435324407,0.508640008,0.422694106,0.606643535
4/5/2017,0.698413792,0.829035502,0.548581088,0.886504894
5/5/2017,0.683078211,0.846641834,0.558870059,0.895786818
6/5/2017,0.610114656,0.756211798,0.573001322,0.821391136
7/5/2017,0.096234872,0.096234872,0.096234872,0.096234872
8/5/2017,0.615163851,0.773624342,0.54313578,0.829389228
9/5/2017,0.692859549,0.82617277,0.618430768,0.891110211
10/5/2017,0.647460566,0.821391136,0.591820129,0.874530826
11/5/2017,0.616806918,0.777784581,0.553820864,0.833907496
12/5/2017,0.620035845,0.783308685,0.573001322,0.840909193
13/5/2017,0.630780021,0.746931892,0.518928979,0.812903976
14/5/2017,0.096234872,0.096234872,0.096234872,0.096234872
15/5/2017,0.618430768,0.786231689,0.589850769,0.845073031
16/5/2017,0.699318275,0.840909193,0.579561798,0.897527751
17/5/2017,0.627794152,0.762070793,0.4012922,0.812505589
18/5/2017,0.663521907,0.792821828,0.626276786,0.865024923
19/5/2017,0.647460566,0.758585147,0.566115403,0.83079519
20/5/2017,0.637975288,0.769878979,0.563742053,0.834929617
21/5/2017,0.096234872,0.096234872,0.096234872,0.096234872
22/5/2017,0.62319138,0.722511659,0.518928979,0.796003188
23/5/2017,0.706349528,0.844440512,0.57522277,0.901156303
24/5/2017,0.62319138,0.755009733,0.581681496,0.825083842
25/5/2017,0.618430768,0.743695438,0.537468153,0.810090962
26/5/2017,0.611818205,0.765471066,0.518928979,0.820263896
27/5/2017,0.633703025,0.740381735,0.528507781,0.810900513
28/5/2017,0.096234872,0.096234872,0.096234872,0.096234872
29/5/2017,0.599429571,0.729212896,0.441233281,0.785264176
30/5/2017,0.096234872,0.096234872,0.096234872,0.096234872
31/5/2017,0.71466564,0.849421767,0.632249216,0.912867572
1/6/2017,0.650055736,0.766586234,0.518928979,0.830445032
2/6/2017,0.656339052,0.792821828,0.583769319,0.856573781
3/6/2017,0.57522277,0.71706635,0.485446624,0.775720044
4/6/2017,0.152528664,0.152528664,0.096234872,0.192469745
5/6/2017,0.647460566,0.75379717,0.54313578,0.82471896
6/6/2017,0.729937898,0.853638416,0.671457643,0.924915744
7/6/2017,0.627794152,0.738354873,0.528507781,0.808046189
8/6/2017,0.60487488,0.755612066,0.563742053,0.818364584
9/6/2017,0.673644106,0.762643319,0.522195896,0.835268659
10/6/2017,0.627794152,0.75379717,0.534545149,0.818364584
11/6/2017,0.096234872,0.096234872,0.096234872,0.096234872
12/6/2017,0.591820129,0.713041791,0.457585992,0.774151241
13/6/2017,0.720204056,0.853043822,0.603083403,0.913061074
14/6/2017,0.657562298,0.785748776,0.587853071,0.853043822
15/6/2017,0.621622577,0.759172199,0.53155928,0.819886107
16/6/2017,0.636565757,0.764910106,0.537468153,0.827968883
17/6/2017,0.611818205,0.743695438,0.534545149,0.808046189
18/6/2017,0.096234872,0.152528664,0.096234872,0.152528664
19/6/2017,0.637975288,0.752573924,0.515583333,0.817981584
20/6/2017,0.735605524,0.851244606,0.632249216,0.919299891
21/6/2017,0.611818205,0.73280063,0.563742053,0.80597085
22/6/2017,0.603083403,0.707203916,0.518928979,0.781325257
23/6/2017,0.651335354,0.76602977,0.528507781,0.831492868
24/6/2017,0.637975288,0.771496522,0.553820864,0.834589745
25/6/2017,0.096234872,0.096234872,0.096234872,0.096234872
26/6/2017,0.618430768,0.764910106,0.512155071,0.820640661
27/6/2017,0.723272414,0.861985571,0.647460566,0.924915744
28/6/2017,0.585826209,0.743695438,0.508640008,0.798673224
29/6/2017,0.589850769,0.758585147,0.408798762,0.801292879
30/6/2017,0.630780021,0.786712929,0.610114656,0.851244606
1/7/2017,0.096234872,0.096234872,0.096234872,0.096234872
2/7/2017,0.096234872,0.096234872,0.096234872,0.096234872
3/7/2017,0.701109752,0.842203725,0.63514177,0.905511535
4/7/2017,0.699318275,0.837285705,0.60487488,0.897959594
5/7/2017,0.603083403,0.728484088,0.457585992,0.787192507
6/7/2017,0.603083403,0.74820564,0.568448862,0.814092322
7/7/2017,0.62319138,0.767140476,0.57074375,0.83079519
8/7/2017,0.603083403,0.750718606,0.505033634,0.806804712
9/7/2017,0.096234872,0.096234872,0.096234872,0.096234872
10/7/2017,0.601268506,0.729212896,0.522195896,0.794648665
11/7/2017,0.713041791,0.844440512,0.629295113,0.908939798
12/7/2017,0.606643535,0.756211798,0.553820864,0.817597524
13/7/2017,0.593761945,0.749467808,0.54313578,0.808867715
14/7/2017,0.633703025,0.772031542,0.501331079,0.827968883
15/7/2017,0.595676976,0.726274425,0.525387705,0.791899316
16/7/2017,0.096234872,0.096234872,0.096234872,0.096234872
17/7/2017,0.642120001,0.735605524,0.558870059,0.814878939
18/7/2017,0.708897078,0.836951559,0.581681496,0.897527751
19/7/2017,0.616806918,0.756211798,0.597565952,0.827253224
20/7/2017,0.620035845,0.712222688,0.481174362,0.784289873
21/7/2017,0.655104932,0.760918607,0.589850769,0.837951594
22/7/2017,0.599429571,0.718644067,0.429152832,0.777271318
23/7/2017,0.096234872,0.096234872,0.096234872,0.096234872
24/7/2017,0.603083403,0.751958235,0.534545149,0.811303525
25/7/2017,0.708897078,0.831840397,0.611818205,0.89774384
26/7/2017,0.613501106,0.759172199,0.579561798,0.825083842
27/7/2017,0.599429571,0.741716722,0.528507781,0.803012251
28/7/2017,0.599429571,0.764346869,0.551225694,0.821016406
29/7/2017,0.62319138,0.734909595,0.537468153,0.80597085
30/7/2017,0.096234872,0.096234872,0.096234872,0.096234872
31/7/2017,0.624742654,0.752573924,0.505033634,0.813301222
1/8/2017,0.676860564,0.820640661,0.593761945,0.880524746
2/8/2017,0.319685326,0.415920198,0.248763536,0.481174362
3/8/2017,0.690957634,0.763213495,0.528507781,0.841881222
4/8/2017,0.643474524,0.816438928,0.597565952,0.87117273
5/8/2017,0.270165442,0.583769319,0.553820864,0.669236194
6/8/2017,0.096234872,0.096234872,0.096234872,0.096234872
7/8/2017,0.708053078,0.834929617,0.566115403,0.894466641
8/8/2017,0.693800824,0.808867715,0.610114656,0.879543557
9/8/2017,0.595676976,0.610114656,0.595676976,0.750718606
10/8/2017,0.540330885,0.817597524,0.573001322,0.853638416
11/8/2017,0.668111997,0.731376642,0.553820864,0.819886107
12/8/2017,0.497527072,0.756808949,0.563742053,0.802155226
13/8/2017,0.152528664,0.096234872,0.096234872,0.152528664
14/8/2017,0.697503379,0.795101642,0.597565952,0.870648814
15/8/2017,0.655104932,0.762643319,0.573001322,0.836280845
16/8/2017,0.615163851,0.751339804,0.583769319,0.821391136
17/8/2017,0.708053078,0.759756779,0.579561798,0.852147128
18/8/2017,0.366400315,0.558870059,0.497527072,0.642120001
19/8/2017,0.616806918,0.744999087,0.515583333,0.807633596
